sample,fastq_1,fastq_2,strandedness
38882_S33,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/38882_S33_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/38882_S33_R2_001.fastq.gz,auto
39113_S34,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/39113_S34_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/39113_S34_R2_001.fastq.gz,auto
39498_S35,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/39498_S35_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/39498_S35_R2_001.fastq.gz,auto
40817_S36,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/40817_S36_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/40817_S36_R2_001.fastq.gz,auto
41179_S37,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/41179_S37_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/41179_S37_R2_001.fastq.gz,auto
43850_S38,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/43850_S38_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/43850_S38_R2_001.fastq.gz,auto
44023_S39,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/44023_S39_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/44023_S39_R2_001.fastq.gz,auto
44134_S40,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/44134_S40_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/44134_S40_R2_001.fastq.gz,auto
44585_S41,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/44585_S41_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/44585_S41_R2_001.fastq.gz,auto
45580_S42,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/45580_S42_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/45580_S42_R2_001.fastq.gz,auto
4667_S22,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/4667_S22_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/4667_S22_R2_001.fastq.gz,auto
47363_S43,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/47363_S43_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/47363_S43_R2_001.fastq.gz,auto
47959_S61,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/47959_S61_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/47959_S61_R2_001.fastq.gz,auto
47990_S62,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/47990_S62_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/47990_S62_R2_001.fastq.gz,auto
48180_S63,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/48180_S63_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/48180_S63_R2_001.fastq.gz,auto
48751_S64,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/48751_S64_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/48751_S64_R2_001.fastq.gz,auto
48774_S65,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/48774_S65_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/48774_S65_R2_001.fastq.gz,auto
50642_S66,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/50642_S66_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/50642_S66_R2_001.fastq.gz,auto
50718_S67,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/50718_S67_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/50718_S67_R2_001.fastq.gz,auto
50782_S44,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/50782_S44_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/50782_S44_R2_001.fastq.gz,auto
51172_S45,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/51172_S45_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/51172_S45_R2_001.fastq.gz,auto
51582_S68,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/51582_S68_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/51582_S68_R2_001.fastq.gz,auto
53186_S77,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/53186_S77_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/53186_S77_R2_001.fastq.gz,auto
5436_S23,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/5436_S23_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/5436_S23_R2_001.fastq.gz,auto
54454_S69,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/54454_S69_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/54454_S69_R2_001.fastq.gz,auto
54566_S81,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/54566_S81_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/54566_S81_R2_001.fastq.gz,auto
55517_S46,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/55517_S46_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/55517_S46_R2_001.fastq.gz,auto
55553_S47,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/55553_S47_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/55553_S47_R2_001.fastq.gz,auto
55655_S78,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/55655_S78_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/55655_S78_R2_001.fastq.gz,auto
56892_S70,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/56892_S70_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/56892_S70_R2_001.fastq.gz,auto
58661_S48,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/58661_S48_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/58661_S48_R2_001.fastq.gz,auto
59260_S71,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59260_S71_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59260_S71_R2_001.fastq.gz,auto
59476_S72,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59476_S72_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59476_S72_R2_001.fastq.gz,auto
59754_S49,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59754_S49_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59754_S49_R2_001.fastq.gz,auto
59923_S73,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59923_S73_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59923_S73_R2_001.fastq.gz,auto
59979_S74,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59979_S74_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/59979_S74_R2_001.fastq.gz,auto
60214_S50,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/60214_S50_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/60214_S50_R2_001.fastq.gz,auto
60277_S75,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/60277_S75_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/60277_S75_R2_001.fastq.gz,auto
60795_S51,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/60795_S51_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/60795_S51_R2_001.fastq.gz,auto
60942_S52,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/60942_S52_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/60942_S52_R2_001.fastq.gz,auto
61434_S76,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/61434_S76_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/61434_S76_R2_001.fastq.gz,auto
6274_S93,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/6274_S93_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/6274_S93_R2_001.fastq.gz,auto
66500_S56,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/66500_S56_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/66500_S56_R2_001.fastq.gz,auto
72338_S82,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/72338_S82_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/72338_S82_R2_001.fastq.gz,auto
72555_S53,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/72555_S53_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/72555_S53_R2_001.fastq.gz,auto
8940_S95,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/8940_S95_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/8940_S95_R2_001.fastq.gz,auto
93800_S55,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/93800_S55_R1_001.fastq.gz,/project2/weisenbe_1344/MGC/RNA-Seq/Mancuso_Plate3_20250317/fastqs/93800_S55_R2_001.fastq.gz,auto
